Name,Average week cost,Temp,Consumption rate,Cost,Weather
"Veal - Leg, Provimi - 50 Lb Max",26,30,59,32,cloudy
Vodka - Smirnoff,21,35,24,34,sunny
Lettuce - Boston Bib,35,32,47,29,Rainy
Muffin Puck Ww Carrot,29,30,38,34,cloudy
"Pork - Loin, Boneless",34,32,60,29,cloudy
Lettuce - California Mix,27,32,21,28,sunny
Cake Sheet Combo Party Pack,22,29,25,30,
Rabbit - Saddles,32,31,48,31,
Cheese - Valancey,28,32,24,31,
"Wine - White, Antinore Orvieto",22,30,25,34,
Appetizer - Sausage Rolls,25,32,58,28,
"Turkey - Breast, Boneless Sk On",34,30,32,30,
Lettuce - Treviso,24,30,20,34,
"Tomatoes - Cherry, Yellow",24,34,49,32,
"Beef - Roasted, Cooked",26,31,29,28,
Bread - Rosemary Focaccia,31,34,22,28,
Cabbage Roll,28,35,32,34,
"Wine - Red, Marechal Foch",35,33,36,32,
"Salmon - Smoked, Sliced",24,29,22,33,
Nacho Chips,21,30,36,28,
Latex Rubber Gloves Size 9,27,30,29,35,
Sprouts - Corn,24,33,39,33,
Petit Baguette,35,28,38,32,
"Tart Shells - Savory, 3",34,34,20,33,
Wine - Puligny Montrachet A.,20,31,26,32,
Beer - Original Organic Lager,20,33,28,33,
"Seedlings - Mix, Organic",31,34,25,35,
Sobe - Lizard Fuel,29,32,41,31,
"Veal - Inside, Choice",26,31,55,30,
"Tart Shells - Savory, 4",29,34,58,35,
Glove - Cutting,27,33,28,31,
Pomello,31,30,40,32,
Halibut - Steaks,25,28,54,34,
White Baguette,28,29,36,35,
Cranberries - Dry,30,30,39,32,
Bar Special K,24,35,33,32,
"Shrimp - 16 - 20 Cooked, Peeled",24,29,20,33,
"Orange - Canned, Mandarin",33,29,35,28,
Wine - Ruffino Chianti Classico,21,29,26,31,
Coffee - Flavoured,20,32,50,29,
Bamboo Shoots - Sliced,28,30,21,32,
Juice - Propel Sport,23,32,26,32,
Lettuce - Curly Endive,25,30,43,29,
Cookies - Fortune,34,33,22,28,
Veal - Provimi Inside,27,31,36,29,
Potatoes - Fingerling 4 Oz,34,30,37,33,
"Soup - Campbells, Spinach Crm",28,34,42,35,
"Lemonade - Strawberry, 591 Ml",24,35,30,28,
Bacardi Breezer - Strawberry,22,31,37,30,
Pizza Pizza Dough,35,33,39,29,
Pepper Squash,26,31,25,33,
Beef - Diced,24,30,49,32,
Mackerel Whole Fresh,22,31,24,28,
Sherry - Dry,24,29,38,32,
Cake Sheet Combo Party Pack,35,30,34,28,
Extract - Raspberry,22,35,32,32,
Vol Au Vents,23,35,42,31,
"Soup - Campbells, Spinach Crm",23,33,41,33,
Longos - Lasagna Beef,27,33,35,33,
Tarragon - Fresh,32,33,46,29,
Wine - Muscadet Sur Lie,28,30,57,33,
Beef - Prime Rib Aaa,21,34,50,31,
Wine - Chenin Blanc K.w.v.,20,31,42,31,
Monkfish Fresh - Skin Off,30,30,34,28,
Carbonated Water - Raspberry,26,31,44,33,
Crackers - Trio,32,35,54,33,
Beef - Sushi Flat Iron Steak,25,33,30,32,
Muffin - Bran Ind Wrpd,35,29,49,31,
Spice - Pepper Portions,25,35,32,30,
Compound - Pear,25,28,34,29,
"Lamb - Shoulder, Boneless",31,30,33,34,
The Pop Shoppe - Cream Soda,21,32,45,31,
Soup Campbells - Tomato Bisque,32,35,36,34,
Bay Leaf,20,34,30,31,
"Lettuce - Romaine, Heart",26,31,39,32,
Coffee - Almond Amaretto,29,34,58,32,
Tahini Paste,22,34,60,29,
Radish - Pickled,28,33,25,34,
Cheese - Brie Roitelet,35,31,31,31,
Onions - Vidalia,29,33,60,33,
Horseradish - Prepared,26,28,35,30,
Muffin Orange Individual,27,28,55,31,
Vanilla Beans,25,33,44,33,
Wine - Two Oceans Sauvignon,21,33,44,30,
Energy Drink Bawls,35,33,25,34,
"Tortillas - Flour, 10",31,31,41,32,
Pate - Liver,24,31,25,34,
"Pork - Back, Long Cut, Boneless",29,35,43,32,
Mix Pina Colada,29,32,40,32,
Wine - Red Oakridge Merlot,28,32,25,30,
Sobe - Cranberry Grapefruit,29,32,32,33,
Bread - French Stick,28,31,51,31,
"Lobster - Baby, Boiled",29,30,31,30,
Wine - Crozes Hermitage E.,34,29,35,31,
"Pepper - Chipotle, Canned",20,30,44,35,
"Tarragon - Primerba, Paste",34,35,51,34,
Hagen Daza - Dk Choocolate,30,35,52,35,
Beef - Top Sirloin - Aaa,20,30,30,33,
Lid - 16 Oz And 32 Oz,27,28,30,34,
Juice - Ocean Spray Kiwi,20,30,45,32,
Wine - Remy Pannier Rose,21,35,40,34,
Munchies Honey Sweet Trail Mix,29,30,48,33,
Cheese - Stilton,24,33,59,33,
Food Colouring - Blue,35,29,44,29,
Muffin Mix - Banana Nut,26,29,22,28,
Country Roll,33,31,35,33,
Sour Cream,21,35,29,35,
Wine - Chenin Blanc K.w.v.,22,35,22,33,
Maintenance Removal Charge,21,28,51,31,
Beef Ground Medium,21,32,30,29,
"Stock - Veal, White",21,29,28,34,
Pears - Anjou,28,29,54,33,
Squeeze Bottle,29,30,41,32,
Parsley - Fresh,34,34,32,31,
Tea - Decaf 1 Cup,33,31,25,32,
Beets - Pickled,33,32,22,34,
"Soup - Canadian Pea, Dry Mix",26,32,43,31,
Food Colouring - Orange,22,30,50,32,
