name,Monday ,Tuesday ,Wednesday ,Thursday ,Friday,Saturday ,Sunday,Weekly cost,Predict rate
"Soup - French Onion, Dry",29.4,73,28,54.0,56.2,49,33.2,39.2,51.4
Capicola - Hot,33.7,81,63,50.6,43.2,50,45.0,36.7,42.8
Pastry - Chocolate Chip Muffin,65.3,21,68,51.1,42.6,30,59.3,19.1,45.5
Wine - Rosso Del Veronese Igt,20.1,75,57,49.8,47.4,39,48.6,11.4,64.8
Soup - Cream Of Broccoli,62.9,61,22,48.7,52.9,46,20.4,35.1,84.5
Wine - Toasted Head,27.6,85,20,45.8,47.7,42,24.2,18.8,56.9
"Sparkling Wine - Rose, Freixenet",31.3,73,61,52.2,51.2,26,29.3,35.4,75.1
Appetizer - Southwestern,34.8,38,55,51.6,59.7,47,58.3,45.0,89.6
Table Cloth 81x81 White,36.4,74,46,53.8,58.5,23,54.4,25.6,86.4
"Beans - Navy, Dry",34.1,29,46,45.0,57.6,36,46.5,18.7,84.5
Food Colouring - Green,35.9,24,70,52.2,48.0,22,50.7,24.2,85.6
Tomatoes - Orange,38.9,63,62,56.4,42.9,27,58.0,12.4,11.3
Dragon Fruit,29.7,64,54,55.5,44.9,36,56.6,41.2,19.1
Pepper - Red Bell,26.3,23,26,51.3,41.6,39,25.0,43.6,41.7
Mace,51.3,75,62,51.2,48.3,27,48.8,48.1,80.6
"Mustard - Dry, Powder",21.8,20,34,58.4,55.3,25,38.4,38.3,35.0
Chicken - Base,35.7,87,25,55.9,50.1,31,50.1,41.6,86.2
Laundry - Bag Cloth,30.8,72,65,54.8,40.8,50,31.7,23.5,33.0
Venison - Denver Leg Boneless,71.1,86,29,40.6,45.9,34,39.8,31.9,61.2
Soup Campbells Beef With Veg,66.0,81,40,52.2,52.0,31,47.2,15.5,43.4
Vaccum Bag 10x13,73.8,39,46,52.4,46.2,27,52.4,32.0,38.8
Lamb - Sausage Casings,59.0,52,34,41.9,44.6,38,55.1,43.9,51.0
Fudge - Cream Fudge,39.7,46,30,59.6,46.0,59,22.3,20.2,48.1
Thyme - Dried,46.2,38,42,45.6,40.2,56,39.3,39.2,73.8
"Chocolate - Semi Sweet, Calets",61.0,69,66,47.2,56.3,55,26.5,10.5,50.1
Lychee,43.9,90,67,46.1,44.2,31,36.1,38.5,63.4
V8 - Tropical Blend,48.0,66,38,54.7,51.0,45,50.7,29.8,32.5
Eel - Smoked,59.0,59,47,43.3,55.4,60,31.5,43.9,87.1
Cabbage - Red,56.1,81,53,59.4,58.1,27,42.2,48.2,31.9
Syrup - Monin - Passion Fruit,73.4,78,41,55.7,48.2,37,41.7,31.4,53.1
Puree - Mango,73.1,68,60,54.1,55.5,57,58.1,28.3,21.7
Mix - Cappucino Cocktail,78.8,88,37,43.8,50.9,56,52.1,18.6,42.8
Boogies,67.2,68,40,47.8,58.1,54,26.0,30.3,79.6
Wine - Tio Pepe Sherry Fino,40.7,78,45,50.9,47.4,41,58.8,15.9,13.5
Tea - Green,24.0,90,34,40.8,50.3,49,53.9,19.5,63.7
Figs,54.5,33,21,46.2,41.2,54,28.3,42.5,16.0
Sauce - Chili,20.7,33,23,50.1,57.6,26,28.8,24.1,45.3
Calaloo,31.8,76,67,47.9,54.4,26,56.7,47.9,47.2
"Shrimp, Dried, Small / Lb",37.2,82,47,43.9,48.3,46,47.5,17.4,39.8
Butter - Salted,49.6,89,34,45.8,60.0,58,48.7,32.1,89.4
Bread - Crusty Italian Poly,72.6,77,66,58.0,45.6,50,57.4,38.8,42.3
Amaretto,43.3,87,52,53.6,41.9,53,22.6,36.4,50.5
Tilapia - Fillets,43.4,44,41,59.4,43.8,36,21.3,33.3,38.1
Rhubarb,50.7,56,65,45.8,59.0,33,34.0,32.0,87.1
Wooden Mop Handle,23.9,53,46,40.9,54.0,54,39.9,18.2,39.1
"Lemonade - Black Cherry, 591 Ml",22.4,45,44,40.5,54.9,39,41.3,33.0,62.6
Wine - Shiraz Wolf Blass Premium,41.0,75,22,50.2,53.2,58,38.1,22.9,52.4
Tart - Butter Plain Squares,59.8,47,61,59.1,49.5,20,59.8,12.2,39.3
Creme De Cacao White,24.8,26,31,52.5,55.8,28,49.4,11.4,52.7
Tea - Apple Green Tea,46.3,20,70,58.1,54.9,54,36.6,26.6,18.8
Fond - Neutral,62.8,87,36,41.6,51.6,22,49.1,13.4,79.9
"Soup - Knorr, Ministrone",48.0,73,63,40.1,41.6,32,27.1,27.1,33.4
Cheese - Bocconcini,23.7,21,39,54.7,59.7,43,24.4,13.8,22.7
Foil Cont Round,64.5,44,30,56.6,40.7,58,37.2,37.6,39.8
Vaccum Bag 10x13,43.2,45,56,58.1,58.4,39,24.8,41.6,10.0
"Cheese - Mozzarella, Shredded",65.8,28,44,55.4,40.6,56,50.2,45.5,47.1
Glycerine,41.0,85,47,53.8,47.9,46,31.0,48.5,33.6
"Pepper - Julienne, Frozen",63.8,32,30,55.8,59.4,31,40.0,36.5,12.0
Liquid Aminios Acid - Braggs,67.1,77,69,52.6,52.8,53,39.9,48.7,82.4
Whmis Spray Bottle Graduated,30.4,41,21,45.7,44.2,42,32.3,14.0,70.5
Parsley - Dried,39.3,87,38,49.4,58.3,59,59.6,35.0,54.5
Wine - Beringer Founders Estate,45.1,46,65,40.1,47.0,51,34.7,29.8,37.1
Scallop - St. Jaques,60.9,48,21,45.7,41.9,51,28.1,20.8,51.4
Juice - Apple Cider,56.3,53,30,50.1,58.6,48,24.6,12.0,59.3
"Beef - Tongue, Cooked",34.9,45,59,42.3,56.2,23,28.9,10.6,19.8
Pancetta,44.1,76,28,44.5,52.2,47,31.6,45.8,59.7
Sauce - Chili,71.4,72,56,48.7,57.9,47,36.0,11.0,86.4
Lettuce - Lolla Rosa,43.7,74,67,51.1,56.2,42,20.2,15.5,87.4
Soup - French Can Pea,75.5,38,23,56.5,48.7,30,48.2,41.7,79.6
Ginger - Crystalized,46.3,31,24,49.6,55.0,59,24.5,48.0,17.2
"Wine - Cahors Ac 2000, Clos",38.1,33,34,43.8,56.6,55,38.2,40.1,59.8
"Veal - Round, Eye Of",36.0,72,70,40.5,49.2,49,26.1,33.2,83.8
Spice - Greek 1 Step,79.7,71,66,55.2,50.2,49,53.1,32.4,45.2
"Lid - Translucent, 3.5 And 6 Oz",57.8,65,44,54.8,47.1,47,29.6,38.8,46.4
Kellogs Special K Cereal,77.1,60,47,45.8,44.8,56,58.7,46.9,90.0
"Pork - Butt, Boneless",65.3,30,28,59.4,43.0,33,38.7,49.7,54.0
Table Cloth 62x120 White,63.8,75,32,51.6,51.7,29,56.6,36.4,70.2
Coriander - Seed,45.4,50,56,48.4,57.4,58,55.3,42.2,74.8
Calaloo,26.0,28,35,58.7,58.6,35,43.7,38.5,15.9
Wasabi Powder,79.6,42,51,46.3,52.3,33,57.9,15.3,33.0
Oregano - Fresh,79.9,55,46,55.8,53.9,57,39.7,38.1,86.1
Container - Foam Dixie 12 Oz,38.6,61,21,52.6,56.2,25,21.3,46.5,32.3
Soupcontfoam16oz 116con,30.6,66,28,50.9,58.5,24,58.0,21.8,27.1
"Beef - Baby, Liver",69.6,54,42,44.2,56.5,31,29.7,28.2,35.8
Juice - Happy Planet,60.6,66,26,46.2,47.8,46,47.9,22.4,40.0
Crab - Soft Shell,68.0,32,31,43.8,46.8,60,27.5,19.2,27.7
Anchovy Paste - 56 G Tube,37.4,57,69,40.5,47.7,60,23.0,22.0,75.3
Duck - Legs,33.1,22,23,44.0,55.4,53,25.1,13.8,79.9
Beets - Golden,64.6,77,45,48.5,57.6,20,35.1,29.5,40.0
Beef Tenderloin Aaa,74.8,28,30,51.5,53.4,43,22.6,40.1,88.2
Cucumber - English,52.1,87,43,43.9,43.3,32,47.2,13.4,50.6
Capers - Ox Eye Daisy,79.3,76,31,43.3,49.2,31,42.0,18.7,73.6
Flour - Fast / Rapid,68.9,50,42,56.8,51.1,37,21.7,48.3,14.4
"Bread - Rolls, Rye",79.2,54,20,57.6,50.9,35,38.6,26.9,34.4
Pork - Caul Fat,61.4,26,35,52.5,53.1,33,55.4,27.6,27.9
Oil - Safflower,70.8,84,32,50.8,44.0,39,51.2,13.4,34.4
Pop - Club Soda Can,61.0,33,40,57.7,58.3,45,37.4,21.9,78.9
Chicken - Tenderloin,46.5,89,68,53.6,58.3,43,43.2,34.2,28.0
Bagel - Everything Presliced,76.2,44,53,42.6,43.2,57,41.7,13.3,88.8
Swordfish Loin Portions,45.7,29,27,48.5,59.5,54,48.1,33.7,60.0
Steampan - Half Size Shallow,23.6,83,64,46.7,55.5,22,56.1,26.6,53.0
Table Cloth 81x81 White,58.1,51,32,55.9,58.9,60,50.5,19.7,22.3
Wine - Cousino Macul Antiguas,74.9,59,22,44.3,50.4,54,45.9,36.0,74.8
Wine - Winzer Krems Gruner,60.9,41,68,48.4,44.2,42,51.9,13.2,14.0
Cocoa Powder - Dutched,48.0,83,40,54.8,49.3,45,24.8,32.4,82.5
"Soup - Campbells, Cream Of",79.1,39,27,59.8,48.5,50,43.8,31.5,29.0
Ice Cream Bar - Hageen Daz To,51.3,61,32,55.7,47.4,22,55.7,14.5,27.0
"Pepsi, 355 Ml",62.4,87,49,52.2,57.3,28,22.9,26.0,74.2
"Dill - Primerba, Paste",51.2,71,39,51.3,50.7,33,31.9,40.8,26.0
Milk - Skim,32.6,63,30,40.0,54.9,46,24.3,17.6,23.6
"Wine - Red, Cooking",31.9,46,24,47.7,41.4,31,52.9,44.7,86.2
Bag Stand,63.9,81,44,53.0,51.0,36,50.5,28.8,19.5
Tuna - Salad Premix,28.3,41,30,57.8,48.8,44,22.6,22.1,30.1
Lettuce - California Mix,59.3,52,36,45.9,45.7,22,21.1,40.3,11.0
Sobe - Cranberry Grapefruit,38.1,70,24,51.2,52.0,39,46.8,19.3,14.2
"Artichoke - Hearts, Canned",36.4,45,62,59.8,55.4,22,36.1,33.5,20.0
Chocolate - Dark Callets,67.4,23,33,55.2,53.8,56,30.1,44.2,39.1
Capon - Whole,20.2,58,40,53.9,58.4,48,36.8,23.8,39.6
Sweet Pea Sprouts,72.6,79,57,56.3,50.1,43,26.8,14.9,55.3
Ecolab - Medallion,74.4,46,56,53.6,56.3,50,25.7,34.1,54.8
Beer - Muskoka Cream Ale,42.2,40,66,54.2,52.0,37,52.5,26.8,13.4
Chutney Sauce - Mango,43.7,80,69,51.7,57.8,24,27.3,49.0,23.3
Nougat - Paste / Cream,68.5,73,66,53.1,42.4,21,45.3,32.2,49.3
Tuna - Sushi Grade,55.9,63,44,53.9,45.5,24,25.2,30.8,89.8
Red Currant Jelly,55.6,90,55,47.7,47.7,39,22.3,37.1,17.7
Banana - Leaves,43.0,45,42,43.2,46.0,34,40.0,48.7,37.1
Bamboo Shoots - Sliced,34.8,48,65,41.8,57.3,37,43.3,45.2,14.6
Basil - Thai,77.0,69,24,45.4,59.4,25,33.3,40.1,54.3
Nescafe - Frothy French Vanilla,22.7,43,38,41.3,43.0,28,53.9,11.5,11.9
Pepper - Green Thai,34.4,20,38,58.3,55.1,35,37.5,26.1,82.9
Stainless Steel Cleaner Vision,21.7,85,69,41.7,51.6,52,43.7,39.1,11.3
"Soup - Knorr, Country Bean",30.9,34,32,56.8,48.9,36,53.8,34.6,49.2
"Bread - Roll, Calabrese",73.3,74,24,47.4,59.9,36,30.7,43.2,33.0
Celery,64.7,69,49,43.5,55.4,58,32.5,39.8,21.4
Canada Dry,32.9,85,56,44.1,51.0,21,41.4,23.3,31.8
Crush - Cream Soda,61.9,65,61,41.8,47.6,25,32.6,14.5,68.5
Anchovy Paste - 56 G Tube,52.4,37,24,55.0,41.3,35,56.6,40.9,83.3
Brandy Apricot,68.9,84,43,53.7,41.2,28,28.3,26.2,52.0
"Sauce - Soya, Light",78.4,25,21,47.4,46.2,21,46.8,19.6,41.4
Wine - Pinot Noir Stoneleigh,34.0,86,29,55.4,49.8,29,42.9,37.7,25.7
Pepper - Yellow Bell,27.3,77,59,45.1,56.6,33,21.1,18.6,12.8
Bread - Rosemary Focaccia,30.1,55,69,59.9,53.6,51,53.8,28.2,88.5
Basil - Seedlings Cookstown,62.0,77,58,48.2,42.7,21,51.4,24.8,22.1
Sole - Fillet,57.4,83,24,43.0,50.6,51,52.2,13.6,28.1
Pears - Fiorelle,50.3,47,29,42.5,49.0,26,49.9,47.0,89.7
Wine - Magnotta - Cab Sauv,25.2,56,26,47.8,45.0,51,50.2,14.4,42.7
Asparagus - Frozen,20.8,22,29,58.1,59.3,24,28.1,33.4,63.6
Arizona - Plum Green Tea,79.9,62,42,59.0,40.8,39,26.6,35.4,51.8
Wine - Placido Pinot Grigo,42.7,34,67,58.2,42.7,20,48.6,16.5,33.3
Wine - Rubyport,34.3,38,38,59.4,55.5,53,42.0,43.5,59.8
Beans - Fava Fresh,64.2,88,62,59.2,54.4,54,49.4,11.2,70.2
Beer - Tetleys,43.3,63,51,56.0,55.0,39,31.2,37.2,17.9
"Pasta - Lasagna, Dry",71.3,57,44,57.5,57.2,31,37.8,22.7,54.9
Chips Potato Salt Vinegar 43g,48.9,68,54,51.0,56.3,55,42.3,45.3,82.9
Fruit Salad Deluxe,66.3,59,34,51.1,49.5,41,33.3,37.3,37.0
Wine - Chablis 2003 Champs,50.7,90,30,47.2,45.6,31,57.5,40.3,87.1
"Bread - Sticks, Thin, Plain",21.8,32,63,45.8,45.1,55,48.3,15.0,44.1
Myers Planters Punch,21.3,69,56,54.1,56.3,25,43.7,35.4,18.7
Sugar - White Packet,71.0,48,68,50.8,47.9,22,45.4,15.4,67.9
"Tart Shells - Barquettes, Savory",66.2,65,43,57.8,56.4,40,45.9,48.2,56.5
Green Tea Refresher,64.8,84,39,58.3,41.7,58,55.1,30.7,26.8
"Lemonade - Kiwi, 591 Ml",20.5,23,43,55.3,40.9,37,53.3,42.1,86.4
"Pepper - Black, Ground",69.4,81,36,55.2,58.4,31,46.0,18.0,38.4
Red Cod Fillets - 225g,71.5,81,66,55.6,53.0,21,56.2,10.5,80.0
Island Oasis - Lemonade,34.4,40,63,41.6,44.2,53,40.6,23.7,33.3
Apple - Macintosh,65.8,21,55,44.9,43.9,40,30.1,47.4,31.2
Sole - Iqf,74.4,49,57,44.9,44.7,51,34.6,32.9,12.0
Chickensplit Half,43.6,66,24,59.4,55.7,58,37.8,40.5,53.4
Bread - 10 Grain,77.7,20,66,57.2,43.7,49,41.1,35.2,26.8
Salt - Sea,22.3,56,40,58.7,59.4,21,41.2,13.2,86.6
Puree - Raspberry,39.3,54,48,40.1,40.7,33,39.6,26.8,88.5
Glass Clear 7 Oz Xl,74.3,50,20,57.6,44.5,47,36.2,20.8,63.2
"Pasta - Fettuccine, Egg, Fresh",57.0,54,43,51.5,44.9,58,56.5,32.7,40.5
Fennel - Seeds,40.2,51,64,49.4,47.1,22,36.3,18.1,22.6
Shrimp - Black Tiger 13/15,21.3,71,41,52.9,53.1,33,51.6,49.5,63.4
Arctic Char - Fillets,40.4,65,58,58.5,58.4,27,35.7,15.2,71.0
Bay Leaf,37.8,80,69,55.6,47.0,44,55.5,32.9,21.4
Peppercorns - Pink,58.0,24,55,44.4,52.5,47,43.3,19.6,66.6
Scallops - In Shell,74.4,57,56,54.3,46.1,28,56.5,17.3,71.8
Shichimi Togarashi Peppeers,60.7,78,68,54.7,49.5,54,54.5,46.8,74.7
Chives - Fresh,45.0,38,23,60.0,49.5,28,48.3,39.6,35.8
"Cup - 3.5oz, Foam",62.1,25,27,58.0,45.8,60,42.6,30.7,84.8
Nantucket - Orange Mango Cktl,65.8,45,56,55.8,46.0,59,45.6,22.5,70.8
"Lemonade - Island Tea, 591 Ml",23.1,32,70,47.0,56.5,22,50.3,33.8,56.0
Water - San Pellegrino,52.2,40,27,59.5,49.9,53,56.8,16.9,67.5
Gatorade - Cool Blue Raspberry,79.5,67,25,51.9,48.9,22,44.6,48.9,23.0
Muffin Hinge Container 6,36.4,22,20,55.1,47.1,58,31.8,48.2,61.3
"Pork - Tenderloin, Fresh",56.1,39,56,53.1,40.3,44,44.5,21.0,32.3
Eggs - Extra Large,66.9,21,42,40.3,44.0,58,38.5,11.5,77.5
Sproutsmustard Cress,23.4,54,52,46.9,54.2,48,43.6,23.2,75.7
Steampan Lid,75.7,59,66,57.6,53.9,41,47.7,36.3,36.7
Mustard - Seed,66.7,28,23,53.7,43.2,29,25.1,13.7,78.3
Spic And Span All Purpose,54.5,50,31,43.9,40.4,42,48.7,17.2,56.9
Cake - Bande Of Fruit,39.1,44,69,57.4,58.3,56,35.2,36.0,56.4
Lettuce - Spring Mix,30.7,25,53,44.0,54.1,43,34.4,11.9,64.8
Wine - Peller Estates Late,52.7,39,26,57.6,55.0,59,39.6,14.2,84.3
Goat - Leg,46.6,50,45,46.2,45.3,47,23.0,39.8,36.0
Wine - Rioja Campo Viejo,55.8,77,68,55.2,58.3,45,28.4,15.6,30.1
Star Fruit,44.3,67,27,58.4,52.2,37,24.8,17.0,46.0
Soup - Campbells Mushroom,22.6,39,35,59.1,53.9,47,39.8,27.3,76.2
Onion - Dried,29.4,56,54,43.0,48.7,45,57.2,31.5,64.4
Puree - Guava,28.0,68,69,52.5,44.7,20,41.8,46.4,55.9
Plaintain,58.6,90,50,58.9,43.3,20,35.8,45.7,42.8
Rice - Brown,61.6,87,22,57.3,51.8,33,52.2,31.0,36.7
Lamb - Sausage Casings,29.1,87,70,53.2,50.8,25,43.1,24.8,81.0
Gloves - Goldtouch Disposable,53.2,47,47,56.5,45.0,28,26.6,33.7,77.8
Coconut Milk - Unsweetened,21.7,68,41,59.0,55.6,20,60.0,19.4,17.3
Muffin Batt - Ban Dream Zero,22.6,42,46,50.4,53.9,34,44.6,18.2,32.3
"Lemonade - Black Cherry, 591 Ml",60.1,42,67,52.2,42.7,57,20.7,49.3,35.3
Cheese - Ermite Bleu,70.4,23,54,52.8,49.0,28,30.6,44.7,81.7
Tea - Grapefruit Green Tea,74.4,50,48,45.7,43.8,59,50.3,35.8,75.4
Mace,28.8,48,66,50.6,54.7,24,24.2,11.5,40.9
Pepper - Chili Powder,52.2,24,26,59.6,54.3,49,49.9,36.2,21.2
Wine - Rioja Campo Viejo,67.9,87,42,40.3,57.2,50,30.7,49.0,43.9
Nori Sea Weed - Gold Label,78.1,30,31,53.7,55.3,21,44.1,37.9,59.8
Wine - Balbach Riverside,49.2,71,69,40.5,40.4,49,34.1,28.1,72.9
"Potatoes - Yukon Gold, 80 Ct",65.2,76,44,59.8,56.3,49,22.3,23.6,30.2
"Pork - Loin, Boneless",65.1,35,53,55.2,56.6,28,30.0,48.5,28.6
"Cherries - Bing, Canned",67.2,86,47,41.9,57.0,25,39.8,24.5,62.2
Muffin - Zero Transfat,34.8,88,53,54.4,50.9,37,48.2,30.7,65.7
Stock - Fish,23.9,22,28,58.5,49.0,48,26.7,26.4,15.7
Tea - Black Currant,76.8,76,24,54.0,43.5,60,43.4,36.5,41.0
"Rum - Dark, Bacardi, Black",48.4,84,51,46.8,59.7,37,33.6,26.0,71.6
Salmon - Canned,65.2,22,55,58.9,50.0,32,27.0,29.2,50.5
Teriyaki Sauce,32.2,82,61,42.8,52.4,43,27.4,40.9,44.9
Savory,34.9,47,57,46.0,55.3,21,46.8,28.1,44.4
Sobe - Berry Energy,67.7,60,45,58.5,57.6,23,43.6,21.5,11.6
Crush - Cream Soda,27.3,75,26,53.4,42.4,40,41.2,26.8,18.6
Snapple - Mango Maddness,40.6,89,25,48.3,51.5,47,35.0,13.1,84.7
Skirt - 24 Foot,67.5,59,29,51.8,41.5,49,53.1,19.7,71.3
"Lid - High Heat, Super Clear",40.5,60,38,45.2,48.1,44,40.3,15.9,66.2
Wine - Ej Gallo Sierra Valley,75.2,45,62,54.7,43.3,38,25.3,15.3,43.5
Beer - Mill St Organic,52.0,79,29,59.6,49.0,24,29.5,11.1,34.7
Fudge - Chocolate Fudge,50.1,41,32,54.5,52.5,26,48.3,39.8,48.6
Skirt - 29 Foot,25.0,33,41,55.5,42.7,47,41.7,43.0,28.5
Parsley - Fresh,27.3,57,57,54.9,52.5,54,32.1,19.6,45.1
Ice Cream - Strawberry,75.2,38,60,46.8,54.9,53,36.3,46.8,35.2
Pepper Squash,45.7,54,22,58.9,55.0,55,57.8,21.9,85.5
Squid - Tubes / Tenticles 10/20,78.8,79,44,55.8,43.0,31,26.9,32.8,80.5
Oil - Olive Bertolli,60.3,37,44,44.6,55.4,20,51.3,15.0,77.5
"Beef - Tongue, Cooked",53.0,68,51,51.7,56.0,31,30.2,15.6,58.6
Ecolab - Lime - A - Way 4/4 L,55.5,85,39,50.2,52.4,60,23.3,46.8,42.7
Peas Snow,58.9,76,58,40.6,51.6,36,36.1,15.4,66.4
Tea - Jasmin Green,24.9,33,34,40.6,51.6,33,51.3,12.3,23.9
Kolrabi,45.2,23,29,55.7,40.6,23,46.5,46.8,26.1
"Cherries - Bing, Canned",47.3,21,70,40.5,58.5,23,56.2,10.2,60.3
Honey - Lavender,32.6,28,31,44.6,46.4,34,35.2,35.2,52.7
Crackers - Soda / Saltins,33.5,69,64,50.2,41.0,22,35.3,21.0,61.8
Foil Wrap,45.4,81,38,46.4,51.3,40,48.4,29.3,41.1
Fond - Chocolate,66.0,69,29,42.8,42.1,50,22.6,17.0,45.2
"Basil - Dry, Rubbed",46.4,39,20,53.6,44.0,43,59.4,27.9,88.3
Bread Ww Cluster,34.7,67,20,45.1,51.3,32,44.9,44.0,79.2
Flour - Cake,41.2,73,45,46.1,53.9,35,37.5,35.9,33.8
Chinese Foods - Pepper Beef,68.4,37,59,41.4,51.2,49,28.3,19.3,71.8
"Cheese - Mozzarella, Shredded",79.8,39,34,52.3,43.8,56,60.0,10.0,52.0
Ham - Black Forest,22.1,53,32,53.0,52.2,21,46.1,32.1,35.1
Stainless Steel Cleaner Vision,47.4,44,28,50.9,54.0,23,52.1,18.5,58.2
"Lentils - Red, Dry",48.4,54,70,51.4,54.7,33,51.8,40.0,50.8
Pepper - Red Chili,66.3,68,65,40.6,60.0,35,39.1,11.5,78.3
"Squash - Pattypan, Yellow",66.2,41,26,43.7,55.4,51,38.0,20.8,53.9
Cookies Oatmeal Raisin,52.9,53,36,49.7,55.9,25,30.5,42.7,38.2
"Crush - Orange, 355ml",73.7,57,63,49.7,43.4,33,51.5,13.2,73.5
Iced Tea Concentrate,65.6,89,54,41.0,47.1,43,53.5,29.9,60.7
Pastry - Baked Cinnamon Stick,41.4,80,31,43.7,57.0,47,58.6,35.0,47.7
